,Word,Frequency,CD,Lemma Frequency,Token ID,Sentence ID,Lemma,Meaning,Lemma Count,Valid,POS
1588,verslikte,0.6989700043360189,0.6989700043360189,1.5185139398778875,2042,181,verslikken,to choke,1,True,V
1589,speelde,3.244029589030022,3.083860800866573,4.328542688112792,2050,182,spelen,to play,3,True,V
1590,had,4.964273776366518,3.9011857801371503,5.9270797094445795,2051,182,hebben,to have,64,True,V
1591,gewonnen,3.495821753385906,3.2676409823459154,4.091631790626808,2053,182,winnen,to win,4,True,V
1592,draait,3.3287872003545345,3.212986184736668,3.9116369331294423,2061,183,draaien,to turn,1,True,V
1593,moet,5.234977654779136,3.9054720619247045,5.437333503328265,2062,183,moeten,to be necessary,9,True,V
1594,gekeurd,1.4313637641589874,1.4313637641589874,2.558708570533166,2063,183,keuren,"to inspect, assess",1,True,V
1595,worden,4.67019945161226,3.887504774235378,5.118463139775366,2064,183,worden,to become,31,True,V
1596,bedacht,3.262213705476417,3.1658376246901283,3.682686478249768,2070,184,bedenken,to think of,2,True,V
1597,had,4.964273776366518,3.9011857801371503,5.9270797094445795,2071,184,hebben,to have,64,True,V
1598,moest,4.308158740359688,3.8210547550468883,5.4376047168290516,2072,184,moeten,to be necessary,9,True,V
1599,huilen,3.377306251068199,3.189770956346874,3.668106237932731,2073,184,huilen,to cry,5,True,V
1600,bedreigd,2.783903579272735,2.6875289612146345,3.2024883170600935,2083,185,bedreigen,to threaten,2,True,V
1601,wordt,4.65152029823422,3.8868853589860084,5.118482976159217,2084,185,worden,to become,31,True,V
1602,rekent,2.2833012287035497,2.2671717284030137,3.563836918664545,2085,185,rekenen,to calculate,2,True,V
1603,zijn,5.5421354833834,3.9064427938170323,6.291130766960268,2093,186,zijn,to be,97,True,V
1604,brengen,4.038302172199525,3.721150843749684,4.5230046724215365,2094,186,brengen,"to bring, carry",4,True,V
1605,vasthield,2.0569048513364727,2.0211892990699383,3.3081373786380386,2107,187,vasthouden,to hold,1,True,V
1606,begon,3.6670792054642165,3.459241664878082,4.432086985778083,2108,187,beginnen,to begin,1,True,V
1607,fladderen,1.4471580313422192,1.414973347970818,1.7160033436347992,2111,187,fladderen,to flutter,1,True,V
1608,had,4.964273776366518,3.9011857801371503,5.9270797094445795,2117,188,hebben,to have,64,True,V
1609,ontdekt,3.367355921026019,3.2340108175871793,3.680516809381255,2118,188,ontdekken,to discover,2,True,V
1610,wilde,4.499109471835013,3.8189513116401725,5.4673446375468195,2119,188,willen,to want,10,True,V
1611,verpest,3.244771761495295,3.1082266563749283,3.4255342204982635,2131,189,verpesten,to infect,1,True,V
1612,heeft,5.203919074994566,3.9048777669634047,5.927074058772405,2132,189,hebben,to have,64,True,V
1613,gooi,3.507855871695831,3.3306166672944384,3.92147838037569,2133,189,weggooien,to throw,1,True,V
1614,weg,4.81152138595795,3.897352134344313,4.817115638688272,2135,189,wegooien,to throw away,1,True,V
1615,uitdraaide,0.47712125471966244,0.47712125471966244,1.9294189257142926,2142,190,uitdraaien,to shut off,1,True,V
1616,heeft,5.203919074994566,3.9048777669634047,5.927074058772405,2143,190,hebben,to have,64,True,V
1617,gehad,4.142702245737616,3.7632033003707717,5.927079195750148,2146,190,hebben,to have,64,True,V
1618,had,4.964273776366518,3.9011857801371503,5.9270797094445795,2156,191,hebben,to have,64,True,V
1619,kwamen,3.646599751720373,3.455758203104137,5.411375557117006,2157,191,komen,to come,12,True,V
1620,verliezen,3.6265456590271294,3.424881636631067,4.16823222951342,2164,192,verliezen,to lose,2,True,V
1621,kunnen,4.872447647789014,3.900530982452756,5.546682059503702,2165,192,kunnen ,to be able,5,True,V
1622,hebben,5.176531121304757,3.9053640687668922,5.927078682055107,2170,192,hebben,to have,64,True,V
1623,overgoten,1.2304489213782739,1.2304489213782739,1.4313637641589874,2175,193,overgieten,to exceed,1,True,V
1624,wordt,4.65152029823422,3.8868853589860084,5.118482976159217,2176,193,worden,to become,31,True,V
1625,is,5.976610385885594,3.906712056942964,6.276831601248094,2180,193,zijn,to be,97,True,V
